id,first_name,last_name,country,number
358,Sid,Mizen,GBR,
359,Joe,Dunphy,GBR,
360,Ralph,Bryans,IRL,
361,J.,Acosta,URU,
362,Vernon,Cottle,GBR,
363,Vasco,Loro,ITA,
364,Horoshi,Hasegawa,JPN,
365,John,Kidson,GBR,
366,Carl,Ward,GBR,
367,R.,Dickinson,GBR,
368,Walter,Scheimann,GER,
369,Ian,Plumridge,?,
370,Jean Pierre,Beltoise,FRA,
371,Len,Ireland,?,
372,Chris,Anderson,GBR,
373,Matti,Salonen,FIN,
374,William-A,Smith,GBR,
375,Pavel,Stavicek,TCH,
376,Jan,Kostwinder,NED,
377,Raoul,Kissling,ARG,
378,Ivan,Schuman,GUA,
379,Alberto,Gomez,ARG,
380,Horacio,Maffia,ARG,
381,Karaber,Samardjian,?,
382,Gaston,Biscia,?,
383,R.,Creith,IRL,
384,Derek,Woodman,GBR,
385,Rob,Fitton,GBR,
386,Morry,Low,NZE,
387,Eriff,Jenkins,GBR,
388,Chris,Conn,GBR,
389,Buddy,Parriott,USA,
390,W.,McCosh,IRL,
391,Lewis,Young,GBR,
392,Ron,Grant,USA,
393,George,Rockett,USA,
394,Floyd,Brown,USA,
395,Lee,Allen,?,
396,Bruce,Beale,RHO,
397,Roy,Boughey,GBR,
398,Clive,Hunt,GBR,
399,Chris,Vincent,GBR,
400,Jim,Curry,GBR,
401,Steve,Murray,GBR,
402,Kevin,Webster,GBR,
403,Jim,Pink,?,
404,Isamu,Kasuya,JPN,
405,Rudolf,Kunz,GER,
406,Giacomo,Agostini,ITA,
407,Richard,Thomas,GER,
408,Peter,Eser,GER,
409,Albert,Beirle,GER,
410,Wolfgang,Gast,GER,
411,Gosta,Jensen,DAN,
412,Heinz,Rosner,GER,
413,Friedhelm,Kohlar,GER,
414,Ramon,Torras,SPA,
415,P.,Kiisa,RUS,
416,Dieter,Krumpholz,GER,
417,Charlie,Mates,?,
418,Renzo,Pasolini,ITA,
419,Ray,Beaumont,CAN,
