id,name,country
535,EAB Racing,?
536,RacingTeam Van Leeuwen,?
537,JerrysRacingTeam,?
538,MGP Racing,?
539,Schwaben Racing Team,?
540,RZT Racing,?
541,RJR Racing,?
542,GPTech,?
543,Andreozzi Reparto Corse,?
544,Turismo de Aragon - DVJ,?
545,Honda Racing Team,?
546,CIP with TSR,?
547,Project u 7C Harc,?
548,Aprilia RSW Racing,?
549,Petronas Malaysia,?
550,AirAsia-Sic-Ajo,?
551,Team Climent,?
552,NGM Mobile Forward Racing,?
553,Power Electronics Aspar,?
554,Avintia Blusens,?
555,Paul Bird Motorsport,?
556,Came IodaRacing Project,?
557,Pons 40 HP Tuenti,?
558,Interwetten-Paddock,?
559,S/Master Speed Up,?
560,GP Team Switzerland,?
561,Blusens Avintia,?
562,Desguaces La Torre SAG,?
563,Thai Honda Gresini Moto2,?
564,Arguiñano Racing Team,?
565,Federal Oil Gresini Moto2,?
566,Cresto Guide MZ Racing,?
567,Kiefer Racing,?
568,Red Bull KTM Ajo,?
569,"Estrella Galicia 0,0",?
570,Technomag-CIP-TSR,?
571,Bankia Aspar Team,?
572,Redox-Ongetta-Centro Seta,?
573,JHK T-Shirt Laglisse,?
574,San Carlo Gresini Moto3,?
575,Andalucia JHK Laglisse,?
576,Ambrogio Next Racing,?
577,IodaRacing Project,?
578,Ioda Team Italia,?
579,Wild Wolf BST,?
580,Thai Honda PTT Gresini Moto2,?
581,Thomas Sabo GP Team,?
582,Tuenti Movil HP 40,?
583,Team Catalunya Caixa Repsol,?
584,MZ Racing,?
585,JHK Laglisse,?
586,Mapfre Aspar Team Moto3,?
587,Elle 2 Ciatti,?
588,Attack Performance,?
589,JHK t-shirt Laglisse,?
590,Andalucia JHK t-shirt Laglisse,?
591,Team Imperiali Racing,?
592,Elle 2-Ciatti,?
593,Targo Bank CNS Motorsport,?
594,Bradol Larresport,?
595,Yamaha YSP Racing Team,?
596,Project U 7C Harc,?
597,Petronas Raceline Malaysia,?
598,K1 Racing,?
599,Fastline GP Racing,?
600,TSR Galicia School,?
601,HP Moto Kalex,?
602,GO&FUN Honda Gresini,?
603,Energy T.I. Pramac Racing,?
604,Ignite Pramac Racing,?
605,Tuenti HP 40,?
606,Technomag carXpert,?
607,NGM Mobile Racing,?
608,Desguaces La Torre Maptaq,?
609,Came Iodaracing Project,?
610,Jir Moto2,?
611,Dynavolt Intact GP,?
612,Tech 3,?
613,Interwetten Paddock,?
614,Argiñano & Gines Racing,?
615,IDEMITSU Honda Team Asia,?
616,Team Calvo,?
617,Avant Tecno,?
618,Ambrogio Racing,?
619,Ongetta-Rivacold,?
620,San Carlo Team Italia,?
621,Caretta Technology - RTG,?
622,Paddock TT Motion Events,?
